query,horizon,mean_probability,std_probability,min_probability,max_probability
above_30013,1,1.0,0.0,1.0,1.0
above_30013,2,1.0,0.0,1.0,1.0
above_30013,3,1.0,0.0,1.0,1.0
above_30013,4,1.0,0.0,1.0,1.0
above_30013,5,1.0,0.0,1.0,1.0
above_30163,1,1.0,0.0,1.0,1.0
above_30163,2,1.0,0.0,1.0,1.0
above_30163,3,1.0,0.0,1.0,1.0
above_30163,4,1.0,0.0,1.0,1.0
above_30163,5,1.0,0.0,1.0,1.0
below_29715,1,0.0,0.0,0.0,0.0
below_29715,2,0.0,0.0,0.0,0.0
below_29715,3,0.0,0.0,0.0,0.0
below_29715,4,0.0,0.0,0.0,0.0
below_29715,5,0.0,0.0,0.0,0.0
below_29566,1,0.0,0.0,0.0,0.0
below_29566,2,0.0,0.0,0.0,0.0
below_29566,3,0.0,0.0,0.0,0.0
below_29566,4,0.0,0.0,0.0,0.0
below_29566,5,0.0,0.0,0.0,0.0
between_29804_29924,1,0.0,0.0,0.0,0.0
between_29804_29924,2,0.0,0.0,0.0,0.0
between_29804_29924,3,0.0,0.0,0.0,0.0
between_29804_29924,4,0.0,0.0,0.0,0.0
between_29804_29924,5,0.0,0.0,0.0,0.0
