query,horizon,mean_probability,std_probability,min_probability,max_probability
above_120343,1,0.0,0.0,0.0,0.0
above_120343,2,0.0,0.0,0.0,0.0
above_120343,5,0.0,0.0,0.0,0.0
above_120343,10,9.934771700953337e-05,0.0037678712243770043,0.0,0.165
above_120343,20,0.0,0.0,0.0,0.0
above_120941,1,0.0,0.0,0.0,0.0
above_120941,2,0.0,0.0,0.0,0.0
above_120941,5,0.0,0.0,0.0,0.0
above_120941,10,0.0,0.0,0.0,0.0
above_120941,20,0.0,0.0,0.0,0.0
below_119145,1,0.787373808329152,0.39033627384574016,0.0,1.0
below_119145,2,0.7724390366281987,0.4036324646311791,0.0,1.0
below_119145,5,0.7901329653788259,0.37168653049500894,0.0,1.0
below_119145,10,0.8174109382839939,0.33256326519856505,0.0,1.0
below_119145,20,0.8754229804315103,0.27240667779465877,0.0,1.0
below_118547,1,0.28715002508780735,0.4354475226461562,0.0,1.0
below_118547,2,0.3038595082789764,0.43117609420736075,0.0,1.0
below_118547,5,0.31938233818364276,0.4396765600989021,0.0,1.0
below_118547,10,0.31130306071249375,0.4360799197545224,0.0,1.0
below_118547,20,0.20707927747114901,0.3848510150699633,0.0,1.0
between_119505_119984,1,0.0628896136477672,0.23089781975711968,0.0,1.0
between_119505_119984,2,0.05767335674862017,0.22349698282590902,0.0,1.0
between_119505_119984,5,0.060479678876066235,0.2274698498208467,0.0,1.0
between_119505_119984,10,0.06645208228800803,0.2327387774346067,0.0,1.0
between_119505_119984,20,0.04459357752132464,0.1753197992553448,0.0,1.0
